guest_id,data_source,event_activity,event_date,transaction_date,message_key,device_name,campaign_id,delivery_id,utm_source,utm_medium,utm_campaign,has_any_utm,complete_utm_loss_flag,channel_name,rendered_screen_size,visits,touch_count,touchpoint_sequence,is_multi_touch,is_any_touch,is_first_touch,is_last_touch,touchpoint_type,days_between,influenced_flag
BkSCwCcU,Campaign Data,Mobile App Click,2025-03-10 09:54:54.0000000,2025-03-12,1,Android,9,89,email,push,promo_09,1,0,iOS applications channel,Undefined,1,2,1,1,1,1,0,First Touch,2,1
41XJOLlX,Campaign Data,Opt-out,2024-12-04 05:17:53.0000000,2024-12-05,14,Desktop,25,185,subway_app,email,promo_25,1,0,Email channel,Undefined,1,1,1,0,1,1,1,Single Touch,1,1
oavw1O9Z,Campaign Data,Open,2025-08-01 07:12:43.0000000,2025-08-02,17,iPhone,24,144,email,push,promo_24,1,0,iOS applications channel,Undefined,1,1,1,0,1,1,1,Single Touch,1,1
kyayq7YY,Campaign Data,Open,2025-08-20 15:05:19.0000000,2025-08-21,18,Desktop,33,73,subway_app,push,promo_33,1,0,Android applications channel,Undefined,1,1,1,0,1,1,1,Single Touch,1,1
9XebLeaq,Campaign Data,Open,2025-03-12 07:43:34.0000000,2025-03-13,23,iPhone,16,136,subway_app,push,promo_16,1,0,Email channel,Undefined,1,1,1,0,1,1,1,Single Touch,1,1
lFcfdoMo,Campaign Data,Open,2024-11-02 13:00:00.0000000,2024-11-16,32,iPhone,12,132,Undefined,Undefined,Undefined,0,-1,Email channel,Undefined,1,1,1,0,1,1,1,Single Touch,14,0
lFcfdoMo,Campaign Data,Email Click,2024-11-03 17:00:00.0000000,2024-11-16,32,Desktop,20,60,subway_app,push,promo_20,1,0,Email channel,Undefined,1,1,1,0,1,1,1,Single Touch,13,0
lFcfdoMo,Campaign Data,Email Click,2024-11-04 11:00:00.0000000,2024-11-16,32,Android,2,122,Undefined,Undefined,Undefined,0,-1,Android applications channel,Undefined,1,1,1,0,1,1,1,Single Touch,12,0
lFcfdoMo,Campaign Data,Mobile App Click,2024-11-05 16:00:00.0000000,2024-11-16,32,Desktop,27,107,Undefined,Undefined,Undefined,0,-1,Android applications channel,Undefined,1,1,1,0,1,1,1,Single Touch,11,0
nc7d8YzG,Campaign Data,Open,2024-12-23 16:55:31.0000000,2024-12-25,33,iPhone,34,34,email,email,promo_34,1,0,iOS applications channel,Undefined,1,1,1,0,1,1,1,Single Touch,2,1
nc7d8YzG,Campaign Data,Email Click,2024-12-24 07:28:06.0000000,2024-12-25,33,Android,33,233,subway_app,push,promo_33,1,0,Android applications channel,Undefined,1,1,1,0,1,1,1,Single Touch,1,1
WWlEHPC6,Campaign Data,Open,2025-05-30 18:00:00.0000000,2025-06-07,36,iPhone,16,296,subway_app,push,promo_16,1,0,Email channel,Undefined,1,1,1,0,1,1,1,Single Touch,8,0
WWlEHPC6,Campaign Data,Mobile App Click,2025-05-31 08:00:00.0000000,2025-06-07,36,Desktop,38,118,Undefined,Undefined,Undefined,0,-1,Android applications channel,Undefined,1,1,1,0,1,1,1,Single Touch,7,0
WWlEHPC6,Campaign Data,Open,2025-06-01 15:00:00.0000000,2025-06-07,36,iPhone,20,20,subway_app,email,promo_20,1,0,iOS applications channel,Undefined,1,1,1,0,1,1,1,Single Touch,6,0
WWlEHPC6,Campaign Data,Email Click,2025-06-02 08:00:00.0000000,2025-06-07,36,Android,22,222,email,email,promo_22,1,0,Email channel,Undefined,1,1,1,0,1,1,1,Single Touch,5,0
WWlEHPC6,Web Visit Data,Undefined,2025-06-05 00:00:00.0000000,2025-06-07,36,iPhone,0,0,Web Visits,Web Visits,Web Visits,1,0,Web Visit,1080x2340,2,1,1,0,1,1,1,SingleTouch,2,0
SyFzpjPS,Campaign Data,Open,2024-10-04 10:03:17.0000000,2024-10-05,38,iPhone,31,31,email,email,promo_31,1,0,Android applications channel,Undefined,1,1,1,0,1,1,1,Single Touch,1,1
AZvUhERE,Campaign Data,Open,2025-06-29 08:18:42.0000000,2025-07-01,40,Android,36,156,subway_app,email,promo_36,1,0,iOS applications channel,Undefined,1,1,1,0,1,1,1,Single Touch,2,1
E4mGh3Ry,Campaign Data,Email Click,2025-03-27 17:39:27.0000000,2025-03-28,53,iPhone,37,157,subway_app,push,promo_37,1,0,Android applications channel,Undefined,1,1,1,0,1,1,1,Single Touch,1,1
fnCME3Ek,Campaign Data,Mobile App Click,2024-09-27 12:49:00.0000000,2024-09-29,56,Desktop,12,12,email,email,promo_12,1,0,iOS applications channel,Undefined,1,1,1,0,1,1,1,Single Touch,2,1
GeUUg5qP,Campaign Data,Email Click,2025-06-24 07:01:38.0000000,2025-06-26,60,iPhone,1,161,subway_app,email,promo_01,1,0,iOS applications channel,Undefined,1,1,1,0,1,1,1,Single Touch,2,1
Rt0TSMcn,Campaign Data,Mobile App Click,2025-04-08 07:19:49.0000000,2025-04-09,76,iPhone,10,50,email,push,promo_10,1,0,Email channel,Undefined,1,1,1,0,1,1,1,Single Touch,1,1
Sb22Q4tn,Web Visit Data,Undefined,2025-07-02 00:00:00.0000000,2025-07-12,79,Desktop,0,0,Web Visits,Web Visits,Web Visits,0,-1,Web Visit,1179x2556,1,1,1,0,1,1,1,SingleTouch,10,0
WB36Ud9s,Campaign Data,Open,2025-06-22 11:31:01.0000000,2025-06-23,83,Android,11,131,subway_app,email,promo_11,1,0,Android applications channel,Undefined,1,1,1,0,1,1,1,Single Touch,1,1
RaE6iPlM,Web Visit Data,Undefined,2025-01-13 00:00:00.0000000,2025-01-22,89,Android,0,0,Web Visits,Web Visits,Web Visits,1,0,Web Visit,1920x1080,3,1,1,0,1,1,1,SingleTouch,9,0
EJHwBVJv,Campaign Data,Open,2024-10-30 14:57:50.0000000,2024-11-01,91,iPhone,30,230,subway_app,email,promo_30,1,0,Android applications channel,Undefined,1,1,1,0,1,1,1,Single Touch,2,1
3QHtDP9b,Campaign Data,Open,2024-10-12 06:17:57.0000000,2024-10-13,98,iPhone,9,89,email,push,promo_09,1,0,iOS applications channel,Undefined,1,1,1,0,1,1,1,Single Touch,1,1
MzXubOrY,Campaign Data,Open,2025-03-23 14:07:54.0000000,2025-03-25,101,iPhone,13,213,email,email,promo_13,1,0,iOS applications channel,Undefined,1,1,1,0,1,1,1,Single Touch,2,1
9djTrfc6,Campaign Data,Open,2025-06-05 07:02:16.0000000,2025-06-07,110,iPhone,11,211,subway_app,push,promo_11,1,0,iOS applications channel,Undefined,1,1,1,0,1,1,1,Single Touch,2,1
JmxJseyG,Campaign Data,Email Click,2025-02-08 12:53:34.0000000,2025-02-09,113,Desktop,37,237,email,push,promo_37,1,0,Android applications channel,Undefined,1,1,1,0,1,1,1,Single Touch,1,1
QTupqziQ,Campaign Data,Open,2025-01-04 16:36:19.0000000,2025-01-06,115,Android,34,274,email,email,promo_34,1,0,Email channel,Undefined,1,1,1,0,1,1,1,Single Touch,2,1
FJglPMf1,Campaign Data,Open,2025-06-23 15:07:55.0000000,2025-06-25,119,iPhone,2,42,subway_app,email,promo_02,1,0,iOS applications channel,Undefined,1,1,1,0,1,1,1,Single Touch,2,1
cozMdant,Campaign Data,Email Click,2024-10-13 15:00:31.0000000,2024-10-14,125,Android,1,161,subway_app,email,promo_01,1,0,iOS applications channel,Undefined,1,1,1,0,1,1,1,Single Touch,1,1
uDCCRnGE,Campaign Data,Mobile App Click,2025-01-20 08:50:09.0000000,2025-01-22,126,Desktop,25,145,subway_app,email,promo_25,1,0,iOS applications channel,Undefined,1,1,1,0,1,1,1,Single Touch,2,1
9XebLeaq,Campaign Data,Open,2025-06-15 03:13:52.0000000,2025-06-16,132,Desktop,21,221,subway_app,push,promo_21,1,0,Email channel,Undefined,1,1,1,0,1,1,1,Single Touch,1,1
dloZHc9z,Campaign Data,Email Click,2024-12-08 16:58:24.0000000,2024-12-09,141,iPhone,31,71,subway_app,push,promo_31,1,0,iOS applications channel,Undefined,1,1,1,0,1,1,1,Single Touch,1,1
CvB003PM,Campaign Data,Email Click,2025-02-13 12:17:48.0000000,2025-02-15,144,iPhone,24,104,email,push,promo_24,1,0,Email channel,Undefined,1,1,1,0,1,1,1,Single Touch,2,1
Uy7zNPHs,Campaign Data,Open,2024-09-26 11:53:43.0000000,2024-09-27,146,Desktop,29,269,subway_app,push,promo_29,1,0,iOS applications channel,Undefined,1,1,1,0,1,1,1,Single Touch,1,1
3jCIEwvJ,Campaign Data,Open,2024-12-18 12:07:09.0000000,2024-12-20,147,Desktop,3,43,subway_app,email,promo_03,1,0,Email channel,Undefined,1,1,1,0,1,1,1,Single Touch,2,1
ul9z9usV,Campaign Data,Open,2024-10-18 17:05:38.0000000,2024-10-19,148,Desktop,38,238,email,push,promo_38,1,0,iOS applications channel,Undefined,1,1,1,0,1,1,1,Single Touch,1,1
La3X2UfU,Campaign Data,Open,2025-06-04 12:42:14.0000000,2025-06-05,149,Desktop,22,222,email,email,promo_22,1,0,Email channel,Undefined,1,1,1,0,1,1,1,Single Touch,1,1
NjpiEQhK,Campaign Data,Open,2025-02-20 07:11:38.0000000,2025-02-22,151,iPhone,29,149,email,email,promo_29,1,0,Android applications channel,Undefined,1,1,1,0,1,1,1,Single Touch,2,1
IGWhfEQi,Web Visit Data,Undefined,2025-06-08 00:00:00.0000000,2025-06-14,154,Desktop,0,0,Web Visits,Web Visits,Web Visits,1,0,Web Visit,1920x1080,1,1,1,0,1,1,1,SingleTouch,6,0
aQ3IDAdm,Campaign Data,Open,2025-03-14 07:16:04.0000000,2025-03-15,155,Desktop,37,197,subway_app,push,promo_37,1,0,iOS applications channel,Undefined,1,1,1,0,1,1,1,Single Touch,1,1
HtAd32ji,Campaign Data,Open,2025-06-10 18:30:51.0000000,2025-06-12,158,iPhone,29,189,email,email,promo_29,1,0,iOS applications channel,Undefined,1,1,1,0,1,1,1,Single Touch,2,1
yDIPwtqx,Campaign Data,Email Click,2025-05-11 07:44:13.0000000,2025-05-13,160,Android,6,206,email,push,promo_06,1,0,Android applications channel,Undefined,1,1,1,0,1,1,1,Single Touch,2,1
Tow88H5s,Campaign Data,Open,2024-11-20 05:12:29.0000000,2024-11-22,168,iPhone,12,172,subway_app,push,promo_12,1,0,iOS applications channel,Undefined,1,1,1,0,1,1,1,Single Touch,2,1
NOQ7N6EQ,Campaign Data,Open,2025-01-08 11:00:00.0000000,2025-01-09,171,iPhone,18,138,subway_app,push,promo_18,1,0,Android applications channel,Undefined,1,1,1,0,1,1,1,Single Touch,1,1
DvJXNMET,Campaign Data,Open,2025-01-02 15:11:51.0000000,2025-01-03,172,iPhone,8,8,email,email,promo_08,1,0,iOS applications channel,Undefined,1,1,1,0,1,1,1,Single Touch,1,1
m5PCZif5,Campaign Data,Mobile App Click,2025-04-06 05:56:47.0000000,2025-04-07,174,Desktop,33,33,subway_app,email,promo_33,1,0,iOS applications channel,Undefined,1,1,1,0,1,1,1,Single Touch,1,1
FMIbOGKp,Campaign Data,Open,2025-05-03 15:51:12.0000000,2025-05-05,175,iPhone,15,55,subway_app,push,promo_15,1,0,Email channel,Undefined,1,1,1,0,1,1,1,Single Touch,2,1
zTOAshzb,Campaign Data,Mobile App Click,2025-06-08 17:00:00.0000000,2025-06-22,176,iPhone,28,108,Undefined,Undefined,Undefined,0,-1,Android applications channel,Undefined,1,1,1,0,1,1,1,Single Touch,14,0
fo16hD8h,Campaign Data,Open,2025-05-19 15:03:11.0000000,2025-05-20,178,iPhone,10,50,subway_app,push,promo_10,1,0,Email channel,Undefined,1,1,1,0,1,1,1,Single Touch,1,1
41l76c1z,Campaign Data,Email Click,2025-08-31 15:46:05.0000000,2025-09-01,179,Desktop,27,187,subway_app,push,promo_27,1,0,iOS applications channel,Undefined,1,1,1,0,1,1,1,Single Touch,1,1
eDA4OKmT,Campaign Data,Email Click,2025-01-10 08:00:00.0000000,2025-01-14,186,iPhone,23,183,subway_app,push,promo_23,1,0,iOS applications channel,Undefined,1,2,1,1,1,1,0,First Touch,4,0
eDA4OKmT,Campaign Data,Open,2025-01-11 18:00:00.0000000,2025-01-14,186,Desktop,23,23,subway_app,push,promo_23,1,0,iOS applications channel,Undefined,1,2,2,1,1,0,1,Last Touch,3,0
eDA4OKmT,Campaign Data,Mobile App Click,2025-01-12 06:52:23.0000000,2025-01-14,186,Android,4,84,email,push,promo_04,1,0,iOS applications channel,Undefined,1,1,1,0,1,1,1,Single Touch,2,1
eDA4OKmT,Campaign Data,Open,2025-01-12 15:00:00.0000000,2025-01-14,186,Desktop,32,32,subway_app,push,promo_32,1,0,Android applications channel,Undefined,1,1,1,0,1,1,1,Single Touch,2,1
PYvK2g5H,Campaign Data,Open,2025-02-25 05:05:55.0000000,2025-02-26,196,Desktop,4,284,subway_app,push,promo_04,1,0,Android applications channel,Undefined,1,1,1,0,1,1,1,Single Touch,1,1
kirtrFje,Campaign Data,Open,2025-03-11 06:40:01.0000000,2025-03-13,205,Android,40,40,email,push,promo_40,1,0,iOS applications channel,Undefined,1,1,1,0,1,1,1,Single Touch,2,1
o52HAS5x,Campaign Data,Open,2025-06-01 13:28:49.0000000,2025-06-02,206,Android,13,293,subway_app,email,promo_13,1,0,iOS applications channel,Undefined,1,1,1,0,1,1,1,Single Touch,1,1
Q911xJPM,Campaign Data,Open,2024-10-30 20:00:00.0000000,2024-11-10,207,Android,34,234,Undefined,Undefined,Undefined,0,-1,iOS applications channel,Undefined,1,1,1,0,1,1,1,Single Touch,11,0
Q911xJPM,Campaign Data,Open,2024-10-31 13:00:00.0000000,2024-11-10,207,iPhone,21,221,Undefined,Undefined,Undefined,0,-1,Email channel,Undefined,1,1,1,0,1,1,1,Single Touch,10,0
Q911xJPM,Campaign Data,Mobile App Click,2024-11-01 14:00:00.0000000,2024-11-10,207,Android,3,3,subway_app,email,promo_03,1,0,iOS applications channel,Undefined,1,1,1,0,1,1,1,Single Touch,9,0
Q911xJPM,Campaign Data,Email Click,2024-11-02 14:00:00.0000000,2024-11-10,207,iPhone,22,182,subway_app,push,promo_22,1,0,iOS applications channel,Undefined,1,1,1,0,1,1,1,Single Touch,8,0
Uy7zNPHs,Campaign Data,Mobile App Click,2025-08-24 12:57:12.0000000,2025-08-26,208,iPhone,33,233,subway_app,email,promo_33,1,0,Android applications channel,Undefined,1,1,1,0,1,1,1,Single Touch,2,1
dfOB1rca,Campaign Data,Open,2024-10-22 06:29:05.0000000,2024-10-24,210,Android,31,151,subway_app,email,promo_31,1,0,Android applications channel,Undefined,1,1,1,0,1,1,1,Single Touch,2,1
sZpTefrj,Campaign Data,Open,2024-10-28 09:57:56.0000000,2024-10-29,211,Desktop,37,237,subway_app,email,promo_37,1,0,Android applications channel,Undefined,1,1,1,0,1,1,1,Single Touch,1,1
HrNMSiA1,Campaign Data,Open,2025-05-20 17:54:52.0000000,2025-05-22,212,Android,6,126,subway_app,push,promo_06,1,0,iOS applications channel,Undefined,1,1,1,0,1,1,1,Single Touch,2,1
AFEn3z5d,Campaign Data,Mobile App Click,2024-12-22 06:49:47.0000000,2024-12-24,213,iPhone,27,67,subway_app,push,promo_27,1,0,Email channel,Undefined,1,1,1,0,1,1,1,Single Touch,2,1
Bfs0QOME,Campaign Data,Open,2025-04-30 17:29:17.0000000,2025-05-01,215,iPhone,5,165,subway_app,push,promo_05,1,0,Email channel,Undefined,1,1,1,0,1,1,1,Single Touch,1,1
KAxIRlWE,Campaign Data,Email Click,2024-12-08 17:49:41.0000000,2024-12-09,216,Desktop,9,49,email,email,promo_09,1,0,Android applications channel,Undefined,1,1,1,0,1,1,1,Single Touch,1,1
oCYS8kgn,Campaign Data,Open,2025-07-15 05:36:22.0000000,2025-07-17,217,iPhone,22,62,subway_app,push,promo_22,1,0,Android applications channel,Undefined,1,2,2,1,1,0,1,Last Touch,2,1
8xWjmMGz,Campaign Data,Open,2025-04-07 16:59:07.0000000,2025-04-09,219,iPhone,39,79,subway_app,email,promo_39,1,0,iOS applications channel,Undefined,1,1,1,0,1,1,1,Single Touch,2,1
OjtR469Y,Campaign Data,Opt-out,2025-05-06 03:44:10.0000000,2025-05-08,230,Android,10,170,email,push,promo_10,1,0,Android applications channel,Undefined,1,2,2,1,1,0,1,Last Touch,2,1
OaSkfF2B,Campaign Data,Email Click,2025-08-13 12:07:22.0000000,2025-08-14,231,Android,23,183,subway_app,email,promo_23,1,0,iOS applications channel,Undefined,1,1,1,0,1,1,1,Single Touch,1,1
QTupqziQ,Campaign Data,Open,2025-01-18 11:12:08.0000000,2025-01-19,245,Desktop,14,94,email,email,promo_14,1,0,Email channel,Undefined,1,1,1,0,1,1,1,Single Touch,1,1
8woPeX9P,Campaign Data,Open,2024-11-15 07:47:29.0000000,2024-11-17,248,Android,9,169,email,email,promo_09,1,0,iOS applications channel,Undefined,1,1,1,0,1,1,1,Single Touch,2,1
IToGJ1QZ,Campaign Data,Email Click,2024-09-25 04:28:21.0000000,2024-09-26,249,Android,13,253,email,push,promo_13,1,0,iOS applications channel,Undefined,1,1,1,0,1,1,1,Single Touch,1,1
cLxUif6s,Web Visit Data,Undefined,2024-12-17 00:00:00.0000000,2024-12-28,254,iPhone,0,0,Web Visits,Web Visits,Web Visits,0,-1,Web Visit,1366x768,2,1,1,0,1,1,1,SingleTouch,11,0
cLxUif6s,Campaign Data,Open,2024-12-26 13:25:02.0000000,2024-12-28,254,iPhone,18,218,subway_app,push,promo_18,1,0,Android applications channel,Undefined,1,1,1,0,1,1,1,Single Touch,2,1
GeUUg5qP,Campaign Data,Open,2024-11-21 15:42:33.0000000,2024-11-23,255,Desktop,15,135,email,push,promo_15,1,0,Email channel,Undefined,1,1,1,0,1,1,1,Single Touch,2,1
7lH9zMKO,Campaign Data,Open,2025-08-31 07:18:58.0000000,2025-09-02,257,iPhone,38,118,email,push,promo_38,1,0,Android applications channel,Undefined,1,1,1,0,1,1,1,Single Touch,2,1
U0igyQMM,Campaign Data,Mobile App Click,2025-01-25 13:11:43.0000000,2025-01-26,258,iPhone,18,18,subway_app,push,promo_18,1,0,Email channel,Undefined,1,1,1,0,1,1,1,Single Touch,1,1
e7EcsAlX,Campaign Data,Email Click,2025-01-20 10:59:14.0000000,2025-01-22,259,iPhone,4,44,subway_app,email,promo_04,1,0,Android applications channel,Undefined,1,1,1,0,1,1,1,Single Touch,2,1
RbpxFMCl,Campaign Data,Open,2025-01-09 12:00:00.0000000,2025-01-22,260,Android,6,126,subway_app,push,promo_06,1,0,iOS applications channel,Undefined,1,1,1,0,1,1,1,Single Touch,13,0
RbpxFMCl,Campaign Data,Email Click,2025-01-10 11:00:00.0000000,2025-01-22,260,Desktop,13,53,Undefined,Undefined,Undefined,0,-1,Android applications channel,Undefined,1,1,1,0,1,1,1,Single Touch,12,0
RbpxFMCl,Campaign Data,Email Click,2025-01-11 11:00:00.0000000,2025-01-22,260,Android,3,283,Undefined,Undefined,Undefined,0,-1,Android applications channel,Undefined,1,1,1,0,1,1,1,Single Touch,11,0
RbpxFMCl,Campaign Data,Mobile App Click,2025-01-12 08:00:00.0000000,2025-01-22,260,Android,20,140,subway_app,email,promo_20,1,0,Email channel,Undefined,1,1,1,0,1,1,1,Single Touch,10,0
RbpxFMCl,Campaign Data,Open,2025-01-21 12:43:51.0000000,2025-01-22,260,Android,12,292,email,email,promo_12,1,0,Email channel,Undefined,1,1,1,0,1,1,1,Single Touch,1,1
a5W3X4gX,Web Visit Data,Undefined,2025-08-26 00:00:00.0000000,2025-09-01,264,iPhone,0,0,Web Visits,Web Visits,Web Visits,1,0,Web Visit,1920x1080,3,1,1,0,1,1,1,SingleTouch,6,0
