guest_profile_id,channel_name,event_link,campaign_id,has_any_utm,utm_source,utm_medium,utm_campaign,complete_utm_loss_flag,event_activity,event_date,last_open_ts,last_click_ts,device,mobile_device,operating_system,delivery_id,delivery_cd,name,label,nature,status,touchpoint_count,touchpoint_sequence,is_first_touch,is_last_touch,is_multi_touch,engagement_score,base_score,channel_multiplier,recency_weight,hour_of_day,daypart_segment,opt_out_flag
03bfc8PX,Email channel,https://subway.com/menu,7,0,Undefined,Undefined,Undefined,-1,Open,2024-11-22 17:00:00.0000000,2024-11-24 17:00:00.0000000,NULL,Android,1,Android,87,lTM5LO1SSCNw,Campaign 7 - EMAIL,Awareness,Promotional,Sent,1,1,1,1,0,0.0199999995529652,0.5,1,0.0500000007450581,17,Afternoon,0
03bfc8PX,Android applications channel,https://subway.com/deals?utm_source=subway_app&utm_medium=push&utm_campaign=promo_14,14,1,subway_app,push,promo_14,0,Open,2024-11-23 11:00:00.0000000,2024-11-24 17:00:00.0000000,NULL,iPhone,0,macOS,134,aUBV3ppuBLo5,Campaign 14 - ANDROID,Promo,Promotional,Completed,1,1,1,1,0,0.0799999982118607,1,1.5,0.0500000007450581,11,Lunch,0
03bfc8PX,iOS applications channel,https://subway.com/menu,36,0,Undefined,Undefined,Undefined,-1,Open,2024-11-24 17:00:00.0000000,2024-11-24 17:00:00.0000000,NULL,Desktop,1,iOS,196,CYPiazmOtuKf,Campaign 36 - IOS,Promo,Promotional,Sent,1,1,1,1,0,0.0799999982118607,1,1.5,0.0500000007450581,17,Afternoon,0
08eVRjbD,iOS applications channel,https://subway.com/deals?utm_source=subway_app&utm_medium=email&utm_campaign=promo_09,9,1,subway_app,email,promo_09,0,Open,2025-07-18 20:00:00.0000000,2025-07-18 20:00:00.0000000,NULL,iPhone,1,iOS,209,6epXFRg4vbsR,Campaign 9 - IOS,Promo,Transactional,Completed,1,1,1,1,0,0.0799999982118607,1,1.5,0.0500000007450581,20,Dinner,0
08eVRjbD,Email channel,https://subway.com/menu,19,0,Undefined,Undefined,Undefined,-1,Open,2025-07-17 17:00:00.0000000,2025-07-18 20:00:00.0000000,NULL,iPhone,0,macOS,179,ucDQ3BKG5Arb,Campaign 19 - EMAIL,Awareness,Promotional,Completed,1,1,1,1,0,0.0199999995529652,0.5,1,0.0500000007450581,17,Afternoon,0
0FgB9xO5,Email channel,https://subway.com/deals?utm_source=subway_app&utm_medium=email&utm_campaign=promo_25,25,1,subway_app,email,promo_25,0,Mobile App Click,2025-01-03 12:00:00.0000000,2025-01-02 12:00:00.0000000,2025-01-03 12:00:00.0000000,Desktop,1,iOS,65,5jD1PCfUGhlX,Campaign 25 - EMAIL,Loyalty,Promotional,Completed,1,1,1,1,0,0,0,1,0.0500000007450581,12,Lunch,0
0FgB9xO5,iOS applications channel,https://subway.com/deals?utm_source=subway_app&utm_medium=push&utm_campaign=promo_32,32,1,subway_app,push,promo_32,0,Open,2025-01-02 12:00:00.0000000,2025-01-02 12:00:00.0000000,2025-01-03 12:00:00.0000000,Android,0,macOS,192,1VQZ8dS6YQpq,Campaign 32 - IOS,Awareness,Transactional,Completed,1,1,1,1,0,0.0799999982118607,1,1.5,0.0500000007450581,12,Lunch,0
0Oj1Mqu6,Android applications channel,https://subway.com/deals?utm_source=subway_app&utm_medium=push&utm_campaign=promo_13,13,1,subway_app,push,promo_13,0,Mobile App Click,2024-09-29 13:00:00.0000000,2024-09-27 10:00:00.0000000,2024-09-29 13:00:00.0000000,Desktop,0,iOS,53,x3gbs34PyoyG,Campaign 13 - ANDROID,Promo,Transactional,Completed,1,1,1,1,0,0.379999995231628,5,1.5,0.0500000007450581,13,Lunch,0
0Oj1Mqu6,iOS applications channel,https://subway.com/menu,14,0,Undefined,Undefined,Undefined,-1,Open,2024-09-27 10:00:00.0000000,2024-09-27 10:00:00.0000000,2024-09-29 13:00:00.0000000,Android,0,Android,14,KPPIlXswuRGF,Campaign 14 - IOS,Awareness,Promotional,Completed,1,1,1,1,0,0.0799999982118607,1,1.5,0.0500000007450581,10,Morning,0
0Oj1Mqu6,Email channel,https://subway.com/menu,18,0,Undefined,Undefined,Undefined,-1,Email Click,2024-09-28 12:00:00.0000000,2024-09-27 10:00:00.0000000,2024-09-29 13:00:00.0000000,Android,0,macOS,178,wAwdQpppPtLf,Campaign 18 - EMAIL,Promo,Transactional,Sent,1,1,1,1,0,0.150000005960464,3,1,0.0500000007450581,12,Lunch,0
