loyalty_guest_id,week_ending_date,transaction_date,transaction_hour,time_of_day,day_of_week,message_key,transaction_date_utc,order_discount_amount,menu_item_id,menu_item_name,menu_item_description,plu,product_category_description,department_description,menu_item_status_type_description,flavor_description,flavor_long_name,flavor_short_name,line_item_quantity,line_item_amount,line_item_amount_less_vat,line_item_discount_amount,line_item_description,order_total,order_amount,iso_currency_alpha_code,restaurant_id,restaurant_city_name,restaurant_state_name,restaurant_country_name,restaurant_postal_code,restaurant_non_traditional_type_description,rewards_redeemed_amount,restaurant_number,business_date,promotion_id,promotion_name,promotion_description,discount_type_desc,coupon_offer_plu,whole_order_dis_fos,whole_order_dis_fosd,line_item_id
DLJ9YV5c,2025-03-09,2025-03-09 20:23:23.0000000,20,Dinner,6,6,2025-03-09 20:23:23.0000000,0,43,Mdp Breadsticks/Wings Item 43,mdp breadsticks/wings description,100043,mdp breadsticks/wings,Food,Active,Chocolate Chip,Chocolate Chip Cookie,ChocoChip,1,11.1000003814697,10.2799997329712,0,Mdp Breadsticks/Wings Item 43,58.7299995422363,54.3800010681152,USD,4,Boston,Massachusetts,USA,13905,Traditional,0,1004,2025-03-09,3,Free Cookie with Footlong,Free cookie with any footlong,Cookie Promo,10003,0,0,1
DLJ9YV5c,2025-03-09,2025-03-09 20:23:23.0000000,20,Dinner,6,6,2025-03-09 20:23:23.0000000,0,103,Mdp Add-Ons Item 103,mdp add-ons description,100103,mdp add-ons,Food,Active,Multigrain,Multigrain,Multi,2,19.4799995422363,18.0400009155273,0,Mdp Add-Ons Item 103,58.7299995422363,54.3800010681152,USD,4,Boston,Massachusetts,USA,13905,Traditional,0,1004,2025-03-09,3,Free Cookie with Footlong,Free cookie with any footlong,Cookie Promo,10003,0,0,2
DLJ9YV5c,2025-03-09,2025-03-09 20:23:23.0000000,20,Dinner,6,6,2025-03-09 20:23:23.0000000,0,83,Mdp Pizza Item 83,mdp pizza description,100083,mdp pizza,Food,Active,Doritos Nacho,Doritos Nacho,Doritos,2,23.7999992370605,22.0400009155273,0,Mdp Pizza Item 83,58.7299995422363,54.3800010681152,USD,4,Boston,Massachusetts,USA,13905,Traditional,0,1004,2025-03-09,3,Free Cookie with Footlong,Free cookie with any footlong,Cookie Promo,10003,0,0,3
85PtmjHW,2025-05-11,2025-05-06 19:53:22.0000000,19,Dinner,1,8,2025-05-06 19:53:22.0000000,6.55000019073486,76,Bottled Beverage Item 76,bottled beverage description,100076,bottled beverage,Food,Active,Lemonade,Lemonade,Lemonade,1,11,10.1899995803833,2.20000004768372,Bottled Beverage Item 76,35.3800010681152,32.7599983215332,USD,6,Alexandria,Virginia,USA,95181,Hospital,0,1006,2025-05-06,4,Employee Meal,Employee meal discount,Percent Discount,10004,6.55000019073486,2.20000004768372,1
85PtmjHW,2025-05-11,2025-05-06 19:53:22.0000000,19,Dinner,1,8,2025-05-06 19:53:22.0000000,6.55000019073486,54,Mdp Misc Item 54,mdp misc description,100054,mdp misc,Food,Active,Gluten-Free,Gluten-Free,GF,1,5.42000007629395,5.01999998092651,1.08000004291534,Mdp Misc Item 54,35.3800010681152,32.7599983215332,USD,6,Alexandria,Virginia,USA,95181,Hospital,0,1006,2025-05-06,4,Employee Meal,Employee meal discount,Percent Discount,10004,6.55000019073486,1.08000004291534,2
85PtmjHW,2025-05-11,2025-05-06 19:53:22.0000000,19,Dinner,1,8,2025-05-06 19:53:22.0000000,6.55000019073486,83,Mdp Pizza Item 83,mdp pizza description,100083,mdp pizza,Food,Active,Doritos Nacho,Doritos Nacho,Doritos,2,16.3400001525879,15.1300001144409,3.26999998092651,Mdp Pizza Item 83,35.3800010681152,32.7599983215332,USD,6,Alexandria,Virginia,USA,95181,Hospital,0,1006,2025-05-06,4,Employee Meal,Employee meal discount,Percent Discount,10004,6.55000019073486,3.26999998092651,3
mvAK56Dj,2024-10-06,2024-10-03 16:45:18.0000000,16,Afternoon,3,12,2024-10-03 16:45:18.0000000,4.94000005722046,69,Footlong Item 69,footlong description,100069,footlong,Food,Active,SunChips Cheddar,SunChips Harvest Cheddar,SunChips,1,13.2299995422363,12.25,2.65000009536743,Footlong Item 69,26.6499996185303,24.6800003051758,USD,20,Columbia,Missouri,USA,19358,University,0,1020,2024-10-03,4,Employee Meal,Employee meal discount,Percent Discount,10004,4.94000005722046,2.65000009536743,1
mvAK56Dj,2024-10-06,2024-10-03 16:45:18.0000000,16,Afternoon,3,12,2024-10-03 16:45:18.0000000,4.94000005722046,46,Salad Item 46,salad description,100046,salad,Food,Active,Gluten-Free,Gluten-Free,GF,1,5.76999998092651,5.34000015258789,1.14999997615814,Salad Item 46,26.6499996185303,24.6800003051758,USD,20,Columbia,Missouri,USA,19358,University,0,1020,2024-10-03,4,Employee Meal,Employee meal discount,Percent Discount,10004,4.94000005722046,1.14999997615814,2
mvAK56Dj,2024-10-06,2024-10-03 16:45:18.0000000,16,Afternoon,3,12,2024-10-03 16:45:18.0000000,4.94000005722046,5,Steak & Cheese Footlong,Footlong steak,100005,footlong,Food,Active,Wheat Bread,9-Grain Wheat,Wheat,1,5.67999982833862,5.26000022888184,1.13999998569489,Steak & Cheese Footlong,26.6499996185303,24.6800003051758,USD,20,Columbia,Missouri,USA,19358,University,0,1020,2024-10-03,4,Employee Meal,Employee meal discount,Percent Discount,10004,4.94000005722046,1.13999998569489,3
41XJOLlX,2024-12-08,2024-12-05 11:17:53.0000000,11,Lunch,3,14,2024-12-05 11:17:53.0000000,0,62,Pizza Item 62,pizza description,100062,pizza,Food,Active,Sprite,Sprite,Sprite,1,8.80000019073486,8.14999961853027,0,Pizza Item 62,52.9000015258789,48.9799995422363,USD,10,Houston,Texas,USA,22156,Gas Station,0,1010,2024-12-05,5,Reward Redemption,Points redemption,Points Deduction,10005,0,0,1
