visit_date,guest_id,device_name,utm_source,utm_medium,utm_campaign,has_any_utm,complete_utm_loss_flag,rendered_screen_size,visitor_id,geosegmentation_countries,cities,zip_postal_codes,visits,campaign_id,raw_url,touch_count,touchpoint_sequence,is_multi_touch,is_any_touch,is_first_touch,is_last_touch,touchpoint_type
2025-04-15,08eVRjbD,iPhone,Web Visits,Web Visits,Web Visits,0,-1,1080x2340,a7V6pWNRnjjm,USA,Los Angeles,84945,2,0,https://www.subway.com/menu/footlongs,1,1,0,1,1,1,SingleTouch
2025-08-06,0FgB9xO5,Android,Web Visits,Web Visits,Web Visits,1,0,1920x1080,oUV4Nrc6vow7,USA,Miami,33797,1,0,https://www.subway.com/rewards?utm_source=email&utm_medium=push&utm_campaign=promo_19,1,1,0,1,1,1,SingleTouch
2025-05-12,0Oj1Mqu6,iPhone,Web Visits,Web Visits,Web Visits,0,-1,1920x1080,LzTIAhC948AT,USA,Miami,14638,2,0,https://www.subway.com/menu/6-inch,1,1,0,1,1,1,SingleTouch
2025-05-17,0QbEkIoi,Desktop,Web Visits,Web Visits,Web Visits,1,0,1179x2556,VMJvYNI2iDZ2,USA,Chicago,27581,1,0,https://www.subway.com/catering?utm_source=email&utm_medium=email&utm_campaign=promo_36,1,1,0,1,1,1,SingleTouch
2024-10-24,0T0z7etk,Android,Web Visits,Web Visits,Web Visits,1,0,1920x1080,iu9WyjnytcAV,USA,Chicago,77299,2,0,https://www.subway.com/menu/6-inch?utm_source=subway_app&utm_medium=push&utm_campaign=promo_24,1,1,0,1,1,1,SingleTouch
2025-02-23,0W3iPRje,Desktop,Web Visits,Web Visits,Web Visits,1,0,1080x2340,m5mpJQIE2ad0,USA,New York,74159,3,0,https://www.subway.com/?utm_source=email&utm_medium=email&utm_campaign=promo_14,1,1,0,1,1,1,SingleTouch
2025-01-18,0eKxhGR5,Desktop,Web Visits,Web Visits,Web Visits,0,-1,1080x2340,4Hbop0cO5DWy,USA,Seattle,56378,1,0,https://www.subway.com/,1,1,0,1,1,1,SingleTouch
2024-10-25,0iQS18VR,Android,Web Visits,Web Visits,Web Visits,0,-1,1080x2340,CoYgkywbdC8S,USA,Los Angeles,48566,1,0,https://www.subway.com/deals,1,1,0,1,1,1,SingleTouch
2024-11-07,0pfDCZKC,Desktop,Web Visits,Web Visits,Web Visits,1,0,1179x2556,21SZ4HMhE7j4,USA,Seattle,62053,2,0,https://www.subway.com/rewards?utm_source=subway_app&utm_medium=push&utm_campaign=promo_33,1,1,0,1,1,1,SingleTouch
2025-08-08,0y9JGPFA,iPhone,Web Visits,Web Visits,Web Visits,1,0,1920x1080,ipH8fGtsS95y,USA,Miami,57968,1,0,https://www.subway.com/menu/6-inch?utm_source=subway_app&utm_medium=push&utm_campaign=promo_03,1,1,0,1,1,1,SingleTouch
2024-10-22,0zeLKdBQ,iPhone,Web Visits,Web Visits,Web Visits,0,-1,1080x2340,DSKWJPhl7X1A,USA,Miami,55058,3,0,https://www.subway.com/menu/footlongs,1,1,0,1,1,1,SingleTouch
2025-08-06,0zxRO8Pf,Desktop,Web Visits,Web Visits,Web Visits,1,0,1920x1080,pOi9pu11bl9f,USA,Chicago,55540,1,0,https://www.subway.com/menu/footlongs?utm_source=email&utm_medium=email&utm_campaign=promo_23,1,1,0,1,1,1,SingleTouch
2024-09-13,155sXZoM,Desktop,Web Visits,Web Visits,Web Visits,0,-1,1179x2556,p6Mq2SV87mXm,USA,Seattle,97935,2,0,https://www.subway.com/menu,1,1,0,1,1,1,SingleTouch
2025-04-28,15qV1Sfs,Android,Web Visits,Web Visits,Web Visits,1,0,1366x768,xFVc0ky3wJbQ,USA,New York,69454,2,0,https://www.subway.com/deals?utm_source=subway_app&utm_medium=email&utm_campaign=promo_29,1,1,0,1,1,1,SingleTouch
2025-01-19,1DTjBlUH,Android,Web Visits,Web Visits,Web Visits,1,0,1080x2340,yKotfFrZWTjD,USA,Seattle,74267,3,0,https://www.subway.com/menu/footlongs?utm_source=email&utm_medium=email&utm_campaign=promo_07,1,1,0,1,1,1,SingleTouch
