loyalty_guest_id,week_ending_date,transaction_date,first_transaction_date,days_from_first_transaction,guest_transaction_count,one_and_done,transaction_hour,time_of_day,day_of_week,message_key,transaction_date_utc,order_discount_amount,menu_item_id,menu_item_name,menu_item_description,plu,product_category_description,department_description,menu_item_status_type_description,flavor_description,flavor_long_name,flavor_short_name,line_item_quantity,line_item_amount,line_item_amount_less_vat,line_item_discount_amount,line_item_description,order_total,order_amount,iso_currency_alpha_code,restaurant_id,restaurant_city_name,restaurant_state_name,restaurant_country_name,restaurant_postal_code,restaurant_non_traditional_type_description,rewards_redeemed_amount,restaurant_number,business_date,promotion_id,promotion_name,promotion_description,discount_type_description,coupon_offer_plu,whole_order_dis_fos,whole_order_dis_fosd,line_item_id,is_employee_meal,is_catering_flag
BkSCwCcU,2025-03-16,2025-03-12 11:54:54.0000000,2025-03-12 11:54:54.0000000,0,3,0,11,Lunch,2,1,2025-03-12 11:54:54.0000000,0,40,3 Inch Item 40,3 inch description,100040,3 inch,Food,Active,Doritos Nacho,Doritos Nacho,Doritos,1,4.1399998664856,3.82999992370605,0,3 Inch Item 40,20.2299995422363,18.7299995422363,USD,6,Alexandria,Virginia,USA,95181,Hospital,0,1006,2025-03-12,NULL,NULL,NULL,NULL,NULL,0,0,1,0,0
BkSCwCcU,2025-03-16,2025-03-12 11:54:54.0000000,2025-03-12 11:54:54.0000000,0,3,0,11,Lunch,2,1,2025-03-12 11:54:54.0000000,0,30,Mdp Add-Ons Item 30,mdp add-ons description,100030,mdp add-ons,Food,Active,Wheat Bread,9-Grain Wheat,Wheat,1,7.36999988555908,6.82000017166138,0,Mdp Add-Ons Item 30,20.2299995422363,18.7299995422363,USD,6,Alexandria,Virginia,USA,95181,Hospital,0,1006,2025-03-12,NULL,NULL,NULL,NULL,NULL,0,0,2,0,0
BkSCwCcU,2025-03-16,2025-03-12 11:54:54.0000000,2025-03-12 11:54:54.0000000,0,3,0,11,Lunch,2,1,2025-03-12 11:54:54.0000000,0,102,Mdp Calzone/Slice Item 102,mdp calzone/slice description,100102,mdp calzone/slice,Food,Active,Baked Lays,Baked Lays,BakedLays,1,7.21999979019165,6.69000005722046,0,Mdp Calzone/Slice Item 102,20.2299995422363,18.7299995422363,USD,6,Alexandria,Virginia,USA,95181,Hospital,0,1006,2025-03-12,NULL,NULL,NULL,NULL,NULL,0,0,3,0,0
sOTGXABS,2025-05-11,2025-05-09 19:24:50.0000000,2025-01-14 13:14:13.0000000,115,2,0,19,Dinner,4,2,2025-05-09 19:24:50.0000000,0,79,Mdp Breadsticks/Wings Item 79,mdp breadsticks/wings description,100079,mdp breadsticks/wings,Food,Active,Chocolate Chip,Chocolate Chip Cookie,ChocoChip,2,25.6599998474121,23.7600002288818,0,Mdp Breadsticks/Wings Item 79,53.5200004577637,49.560001373291,USD,23,Fort Wayne,Indiana,USA,52504,Walmart,0,1023,2025-05-09,NULL,NULL,NULL,NULL,NULL,0,0,1,0,0
sOTGXABS,2025-05-11,2025-05-09 19:24:50.0000000,2025-01-14 13:14:13.0000000,115,2,0,19,Dinner,4,2,2025-05-09 19:24:50.0000000,0,60,Mdp Bottled Drinks Item 60,mdp bottled drinks description,100060,mdp bottled drinks,Food,Active,M&M Cookie,M&M Cookie,MMCookie,1,12.4700002670288,11.5500001907349,0,Mdp Bottled Drinks Item 60,53.5200004577637,49.560001373291,USD,23,Fort Wayne,Indiana,USA,52504,Walmart,0,1023,2025-05-09,NULL,NULL,NULL,NULL,NULL,0,0,2,0,0
sOTGXABS,2025-05-11,2025-05-09 19:24:50.0000000,2025-01-14 13:14:13.0000000,115,2,0,19,Dinner,4,2,2025-05-09 19:24:50.0000000,0,4,Italian B.M.T. Footlong,Footlong B.M.T.,100004,footlong,Food,Active,Italian Bread,Italian Bread,Italian,1,11.4300003051758,10.5799999237061,0,Italian B.M.T. Footlong,53.5200004577637,49.560001373291,USD,23,Fort Wayne,Indiana,USA,52504,Walmart,0,1023,2025-05-09,NULL,NULL,NULL,NULL,NULL,0,0,3,0,0
BmS6i4Pt,2025-08-17,2025-08-14 15:17:14.0000000,2024-11-23 16:12:39.0000000,264,2,0,15,Afternoon,3,3,2025-08-14 15:17:14.0000000,0,32,Salad Item 32,salad description,100032,salad,Food,Active,Italian Herbs & Cheese,Italian Herbs & Cheese,IHC,1,3.85999989509583,3.5699999332428,0,Salad Item 32,25.5100002288818,23.6200008392334,USD,18,Ann Arbor,Michigan,USA,31319,Airport,0,1018,2025-08-14,NULL,NULL,NULL,NULL,NULL,0,0,1,0,0
BmS6i4Pt,2025-08-17,2025-08-14 15:17:14.0000000,2024-11-23 16:12:39.0000000,264,2,0,15,Afternoon,3,3,2025-08-14 15:17:14.0000000,0,86,Salad Item 86,salad description,100086,salad,Food,Active,Multigrain,Multigrain,Multi,2,14.9200000762939,13.8100004196167,0,Salad Item 86,25.5100002288818,23.6200008392334,USD,18,Ann Arbor,Michigan,USA,31319,Airport,0,1018,2025-08-14,NULL,NULL,NULL,NULL,NULL,0,0,2,0,0
BmS6i4Pt,2025-08-17,2025-08-14 15:17:14.0000000,2024-11-23 16:12:39.0000000,264,2,0,15,Afternoon,3,3,2025-08-14 15:17:14.0000000,0,100,Mdp Breadsticks/Wings Item 100,mdp breadsticks/wings description,100100,mdp breadsticks/wings,Food,Active,Italian Herbs & Cheese,Italian Herbs & Cheese,IHC,1,4.84000015258789,4.48000001907349,0,Mdp Breadsticks/Wings Item 100,25.5100002288818,23.6200008392334,USD,18,Ann Arbor,Michigan,USA,31319,Airport,0,1018,2025-08-14,NULL,NULL,NULL,NULL,NULL,0,0,3,0,0
U27c66lA,2024-11-24,2024-11-21 13:52:13.0000000,2024-11-21 13:52:13.0000000,0,2,0,13,Lunch,3,4,2024-11-21 13:52:13.0000000,0,73,Wrap Item 73,wrap description,100073,wrap,Food,Active,Italian Herbs & Cheese,Italian Herbs & Cheese,IHC,1,7.03000020980835,6.51000022888184,0,Wrap Item 73,29.0200004577637,26.8700008392334,USD,13,Boulder,Colorado,USA,20328,University,0,1013,2024-11-21,NULL,NULL,NULL,NULL,NULL,0,0,1,0,1
