loyalty_guest_id,week_ending_date,transaction_date,first_transaction_date,days_from_first_transaction,guest_transaction_count,one_and_done,transaction_hour,time_of_day,day_of_week,message_key,transaction_date_utc,order_discount_amount,menu_item_id,menu_item_name,menu_item_description,plu,product_category_description,department_description,menu_item_status_type_description,flavor_description,flavor_long_name,flavor_short_name,line_item_quantity,line_item_amount,line_item_amount_less_vat,line_item_discount_amount,line_item_description,order_total,order_amount_x,iso_currency_alpha_code,restaurant_id,restaurant_city_name,restaurant_state_name,restaurant_country_name,restaurant_postal_code,restaurant_non_traditional_type_description,rewards_redeemed_amount,restaurant_number,business_date,promotion_id,promotion_name,promotion_description,discount_type_description,coupon_offer_plu,whole_order_dis_fos,whole_order_dis_fosd,line_item_id,is_employee_meal,is_catering_flag,cat,rn,order_amount_y,order_amount_less_vat,order_discount_total,is_pc_3_inch,is_pc_6_inch,is_add_on,is_bottled_beverage,is_cash_card,is_catering,is_chips,is_cookies,is_direct_delivery,is_footlong,is_fountain,is_hot_beverage,is_mdp_add_ons,is_mdp_bottled_drinks,is_mdp_breadsticks_wings,is_mdp_calzone_slice,is_mdp_fountain_drinks,is_mdp_misc,is_mdp_pizza,is_muffin_melt,is_other_beverage,is_other_carrier,is_other_misc,is_pizza,is_returnable_items,is_salad,is_soups
BkSCwCcU,2025-03-16,2025-03-12 11:54:54.0000000,2025-03-12 11:54:54.0000000,0,3,0,11,Lunch,2,1,2025-03-12 11:54:54.0000000,0,40,3 Inch Item 40,3 inch description,100040,3 inch,Food,Active,Doritos Nacho,Doritos Nacho,Doritos,1,4.1399998664856,3.82999992370605,0,3 Inch Item 40,20.2299995422363,18.7299995422363,USD,6,Alexandria,Virginia,USA,95181,Hospital,0,1006,2025-03-12,NULL,NULL,NULL,NULL,NULL,0,0,1,0,0,3 inch,1,18.7299995422363,17.3400001525879,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
sOTGXABS,2025-05-11,2025-05-09 19:24:50.0000000,2025-01-14 13:14:13.0000000,115,2,0,19,Dinner,4,2,2025-05-09 19:24:50.0000000,0,79,Mdp Breadsticks/Wings Item 79,mdp breadsticks/wings description,100079,mdp breadsticks/wings,Food,Active,Chocolate Chip,Chocolate Chip Cookie,ChocoChip,2,25.6599998474121,23.7600002288818,0,Mdp Breadsticks/Wings Item 79,53.5200004577637,49.560001373291,USD,23,Fort Wayne,Indiana,USA,52504,Walmart,0,1023,2025-05-09,NULL,NULL,NULL,NULL,NULL,0,0,1,0,0,mdp breadsticks/wings,1,49.560001373291,45.8899993896484,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
BmS6i4Pt,2025-08-17,2025-08-14 15:17:14.0000000,2024-11-23 16:12:39.0000000,264,2,0,15,Afternoon,3,3,2025-08-14 15:17:14.0000000,0,32,Salad Item 32,salad description,100032,salad,Food,Active,Italian Herbs & Cheese,Italian Herbs & Cheese,IHC,1,3.85999989509583,3.5699999332428,0,Salad Item 32,25.5100002288818,23.6200008392334,USD,18,Ann Arbor,Michigan,USA,31319,Airport,0,1018,2025-08-14,NULL,NULL,NULL,NULL,NULL,0,0,1,0,0,salad,1,23.6200008392334,21.8600006103516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
U27c66lA,2024-11-24,2024-11-21 13:52:13.0000000,2024-11-21 13:52:13.0000000,0,2,0,13,Lunch,3,4,2024-11-21 13:52:13.0000000,0,73,Wrap Item 73,wrap description,100073,wrap,Food,Active,Italian Herbs & Cheese,Italian Herbs & Cheese,IHC,1,7.03000020980835,6.51000022888184,0,Wrap Item 73,29.0200004577637,26.8700008392334,USD,13,Boulder,Colorado,USA,20328,University,0,1013,2024-11-21,NULL,NULL,NULL,NULL,NULL,0,0,1,0,1,wrap,1,26.8700008392334,24.8799991607666,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
KErc7eR7,2025-03-16,2025-03-14 13:58:51.0000000,2024-12-01 11:39:58.0000000,103,5,0,13,Lunch,4,5,2025-03-14 13:58:51.0000000,0,60,Mdp Bottled Drinks Item 60,mdp bottled drinks description,100060,mdp bottled drinks,Food,Active,M&M Cookie,M&M Cookie,MMCookie,2,29.1000003814697,26.9400005340576,0,Mdp Bottled Drinks Item 60,64.4000015258789,59.6300010681152,USD,13,Boulder,Colorado,USA,20328,University,0,1013,2025-03-14,NULL,NULL,NULL,NULL,NULL,0,0,1,0,1,mdp bottled drinks,1,59.6300010681152,55.2099990844727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
DLJ9YV5c,2025-03-09,2025-03-09 20:23:23.0000000,2025-03-09 20:23:23.0000000,0,1,1,20,Dinner,6,6,2025-03-09 20:23:23.0000000,0,43,Mdp Breadsticks/Wings Item 43,mdp breadsticks/wings description,100043,mdp breadsticks/wings,Food,Active,Chocolate Chip,Chocolate Chip Cookie,ChocoChip,1,11.1000003814697,10.2799997329712,0,Mdp Breadsticks/Wings Item 43,58.7299995422363,54.3800010681152,USD,4,Boston,Massachusetts,USA,13905,Traditional,0,1004,2025-03-09,3,Free Cookie with Footlong,Free cookie with any footlong,Cookie Promo,10003,0,0,1,0,0,mdp breadsticks/wings,1,54.3800010681152,50.3600006103516,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
aDNKgeIn,2025-03-02,2025-02-24 15:40:53.0000000,2024-11-11 18:45:14.0000000,105,4,0,15,Afternoon,0,7,2025-02-24 15:40:53.0000000,0,40,3 Inch Item 40,3 inch description,100040,3 inch,Food,Active,Doritos Nacho,Doritos Nacho,Doritos,1,5.21999979019165,4.82999992370605,0,3 Inch Item 40,25.6900005340576,23.7800006866455,USD,14,Scottsdale,Arizona,USA,91070,Walmart,0,1014,2025-02-24,NULL,NULL,NULL,NULL,NULL,0,0,1,0,0,3 inch,1,23.7800006866455,22.0200004577637,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
85PtmjHW,2025-05-11,2025-05-06 19:53:22.0000000,2025-05-06 19:53:22.0000000,0,1,1,19,Dinner,1,8,2025-05-06 19:53:22.0000000,6.55000019073486,76,Bottled Beverage Item 76,bottled beverage description,100076,bottled beverage,Food,Active,Lemonade,Lemonade,Lemonade,1,11,10.1899995803833,2.20000004768372,Bottled Beverage Item 76,35.3800010681152,32.7599983215332,USD,6,Alexandria,Virginia,USA,95181,Hospital,0,1006,2025-05-06,4,Employee Meal,Employee meal discount,Percent Discount,10004,6.55000019073486,2.20000004768372,1,0,0,bottled beverage,1,32.7599983215332,30.3400001525879,6.55000019073486,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
PYvK2g5H,2024-10-06,2024-10-01 12:10:57.0000000,2024-10-01 12:10:57.0000000,0,6,0,12,Lunch,1,9,2024-10-01 12:10:57.0000000,0,52,Chips Item 52,chips description,100052,chips,Food,Active,Lemonade,Lemonade,Lemonade,1,4.42000007629395,4.09000015258789,0,Chips Item 52,39.7099990844727,36.7700004577637,USD,1,Rochester,New York,USA,24592,Traditional,0,1001,2024-10-01,NULL,NULL,NULL,NULL,NULL,0,0,1,0,0,chips,1,36.7700004577637,34.0499992370605,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
o06UKuKM,2025-06-22,2025-06-16 19:15:01.0000000,2024-10-13 12:45:11.0000000,246,2,0,19,Dinner,0,10,2025-06-16 19:15:01.0000000,0,2,"Tuna 6""",Tuna with mayo,100002,6 inch,Food,Active,Wheat Bread,9-Grain Wheat,Wheat,1,4.32000017166138,4,0,"Tuna 6""",29.0900001525879,26.9300003051758,USD,24,Louisville,Kentucky,USA,40021,Walmart,0,1024,2025-06-16,NULL,NULL,NULL,NULL,NULL,0,0,1,0,0,6 inch,1,26.9300003051758,24.9300003051758,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
